"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",2268,2252,2414,2504,2519,2539,2595,2634,2571,2651,2652,2850,2981,3101
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3898,3969
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",88,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",901,"(D)",964,1151,1232,1479,1561,1917,1811,1855,1839,2176,2108,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)",1,1,"(L)","(L)","(L)","(L)","(L)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1188,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",56,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",42,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",270,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",146,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",1203,1677,1823,2050,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1733
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",424,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",629,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",599,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",7214,7742,8086,8301,9266,9574,10376,9143,10057,10840,11330,12164,13249,13664
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",3229,3291,3733,3846,4433,4675,4995,3585,4435,4822,4771,5186,5992,6173
