"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)",148,119,122,124,146,157,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation","(D)","(D)","(D)",135,141,160,157,"(D)","(D)",170,174,178,172,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)",13,13,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)",14,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)",24,27,28,32,30,27,23,"(D)","(D)","(D)",19,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information","(D)",346,340,364,411,395,392,442,487,480,390,361,341,361
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",40,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",250,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1684,1735,1725,1693,1660,1864,2179,2466,2570,2564,2578,3089,3179,3200
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",384,455,496,485,490,510,510,501,525,512,507,532,570,545
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",194,213,242,242,258,269,267,257,236,228,232,249,266,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",192,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",20,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",1300,1280,1229,1208,1170,1354,1669,1965,2045,2052,2071,2557,2609,2655
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",1133,1094,1034,1014,958,1079,1392,1654,1720,"(D)","(D)","(D)",2236,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",167,187,195,194,212,275,277,311,324,"(D)","(D)","(D)",373,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services","(D)",731,723,792,894,971,1033,1134,1107,1181,1166,1155,1166,1231
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",558,584,571,"(D)",576,623
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",125,"(D)",117,126
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",287,"(D)","(D)",293,335,"(D)",392,447,"(D)","(D)",471,468,473,482
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",249,240,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",38,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",1107,1189,1211,1297,1359,1463,1546,1655,1758,1790,1799,1864,1917,2048
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",105,107
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1812,1941
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",464,489,498,525,552,571,588,628,663,671,703,741,738,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)",103,103,111,119,"(D)","(D)","(D)",127,"(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",844,848,884,939,931,958,976,966,971,991,967,950,985,1004
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)","(D)","(D)","(D)","(D)",597,569,413,401,386,366,348,334
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)","(D)","(D)","(D)",379,397,559,590,580,584,638,670
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",200,191,"(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",225,244,263,"(D)","(D)",318,"(D)","(D)","(D)","(D)",381,393,"(D)","(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",311,317,315,334,342,360,370,396,405,434,446,460,466,475
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1981,2140,2318,2480,2589,2716,2771,2825,3065,3230,3389,3406,3269,3184
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",335,347,391,393,397,417,457,505,515,498,517,538,519,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",385,465,509,538,565,547,555,552,573,673,704,719,704,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1260,1329,1418,1548,1627,1753,1759,1768,1977,2059,2168,2150,2047,"(NA)"
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",2272,1837,2360,2898,3699,4684,4121,6003,3681,4937,6064,"(D)",4445,4681
