"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",69,81,98,107,109,116,124,126,123,116,113,110,113,119
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)",18,20,21,21,19,23,21,"(D)",21,21,21,21,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications",49,53,64,70,"(D)","(D)","(D)",88,86,"(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",368,362,379,390,423,467,502,523,620,594,608,650,651,622
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",173,191,196,201,209,237,239,203,253,255,277,325,307,307
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",79,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",111,"(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",82,92,102,119,121,141,141,105,121,118,124,142,163,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",194,170,184,189,214,231,262,320,367,340,331,325,345,315
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",168,145,157,161,183,185,213,262,308,284,272,271,292,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",26,26,27,28,31,46,49,58,59,56,59,55,53,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",136,142,149,167,183,190,206,209,206,234,240,241,248,257
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)","(D)",98,109,105,104,105,103,105,113
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",59,58,62,65,74,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)",63,53,48,71,79,77,75,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",264,295,330,344,366,398,422,456,486,509,520,551,598,609
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",8,8,8,9,9,9,10,10,9,9,11,11,11,10
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",256,287,322,335,357,389,412,446,477,500,509,539,587,598
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",124,139,139,149,160,178,191,204,224,238,241,261,288,"(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",108,112,116,122,136,141,143,151,153,151,149,152,144,149
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",15,11,11,12,14,14,15,21,20,17,16,17,16,19
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)",3,3,4,3,3,7,6,5,"(D)",5,5,"(NA)"
