"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)",26,"(D)","(D)",40,37,37,41,"(NA)"
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",22,"(D)","(D)","(D)",30,37,44,35,32,20,19,"(D)",17,20
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)",41,"(D)","(D)","(D)","(D)",13,13,"(NA)"
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(L)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",98,100,105,"(D)",108,117,133,149,175,150,219,192,193,195
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance","(D)","(D)","(D)",41,47,50,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",60
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25980","Hinesville, GA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)",1,2,2,1,"(L)",1,1,1,"(D)","(D)","(NA)"
