"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",76,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",397,339,386,429,497,515,588,618,617,608,538,600,623,620
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",196,"(D)",291,330,389,396,468,"(D)",489,493,"(D)","(D)",493,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",200,"(D)",95,99,108,119,119,"(D)",128,115,"(D)","(D)",130,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",329,376,432,469,536,587,639,728,750,745,751,696,703,680
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",188,"(D)","(D)",315,"(D)","(D)","(D)",482,515,509,501,461,456,"(D)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)",4,"(D)","(D)","(D)",4,6,7,10,36,37,"(D)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)",139,138,150,167,182,196,242,229,229,241,200,210,212
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)",129,"(D)",156,171,186,232,217,213,"(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)",9,"(D)",11,11,10,10,12,15,"(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",559,596,649,683,709,759,825,930,1055,1154,1225,1306,1437,1490
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)",33,37,46,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",111,104
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)",564,612,636,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1326,1386
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",224,"(D)",269,"(D)",310,338,370,409,458,500,559,"(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",195,207,218,226,226,237,262,293,299,325,332,354,392,414
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)",22,"(D)","(D)","(D)",29,24,"(D)","(D)","(D)",32,40,41
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",11,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)",18,"(D)","(D)","(D)","(D)","(D)","(D)",29,"(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)",196,"(D)","(D)","(D)",233,269,"(D)","(D)","(D)",322,352,373
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)",35,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",152,162,"(D)",179,"(D)",185,198,"(D)",246,263,264,"(D)","(D)","(NA)"
