"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)",37,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",136,134,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)",3,3,2,"(D)",2,2,"(D)","(D)",2,"(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",104,120,161,228,286,282,"(D)",239,224,224,198,171,166,158
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)",14,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)",5,5,4,8,12,13,15,12,"(D)",10,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications",88,99,135,198,"(D)","(D)","(D)","(D)",179,176,158,"(D)",130,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",849,909,1005,1034,1251,1298,1451,1570,1638,1582,1416,1249,1428,1720
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",226,250,269,253,296,304,311,254,224,204,165,172,193,204
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",161,189,200,189,217,221,223,190,150,138,101,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",14,"(D)","(D)",12,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",49,57,50,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",50,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)",2,3,"(D)","(D)","(D)","(D)","(D)",1,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",622,660,736,782,955,994,1140,1317,1414,1378,1251,1076,1235,1516
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)",590,"(D)",783,811,966,1143,1251,1257,"(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)",145,"(D)",172,183,174,174,163,121,"(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",330,370,411,472,556,583,"(D)",579,608,632,628,612,605,656
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",178,207,238,294,348,363,352,354,373,397,404,377,350,366
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",23,18,16,16,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",129,145,157,162,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)",125,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)",37,39,36,37,32,37,42,25,"(D)",28,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance","(D)",356,395,413,427,461,473,495,500,510,528,609,"(D)",698
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)",10,11,12,"(D)",8,10,15,14,14,"(D)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)","(D)",418,450,461,"(D)",492,500,514,595,"(D)","(D)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",200,215,244,245,"(D)",293,"(D)",303,"(D)",295,305,"(D)",321,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",152,156,235,"(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance",21,25,"(D)","(D)","(D)","(D)","(D)","(D)",48,53,52,"(D)",52,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",298,311,316,356,371,399,426,439,436,428,467,508,"(D)",528
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)",47,33,45,46,42,47,49,52,"(D)","(D)","(D)","(D)",64
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",12,13,9,9,8,"(D)",10,"(D)","(D)",13,13,"(D)",15,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)",34,24,36,37,"(D)",37,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)",265,282,311,325,357,379,389,384,"(D)","(D)","(D)","(D)",463
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)",108,"(D)","(D)",131,141,136,122,"(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",154,"(D)",175,"(D)","(D)",226,237,253,262,255,273,"(D)",298,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government","(D)","(D)","(D)",186,199,211,213,205,203,209,175,181,185,191
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1005,1175,1274,1365,1388,1460,1553,1562,1630,1716,1686,1616,1562,1572
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",239,258,285,302,304,315,335,347,383,421,437,441,409,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",327,382,416,450,488,505,490,480,475,491,449,449,477,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",439,535,573,613,597,640,728,735,772,805,800,726,675,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",24,"(D)","(D)","(D)",19,28,28,31,25,29,27,28,31,33
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",596,628,676,724,811,797,810,791,"(D)",795,813,826,895,946
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",179,188,207,"(D)",234,279,293,286,"(D)",379,413,396,408,406
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",504,545,599,"(D)",841,981,965,929,756,746,739,709,764,800
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",2892,3045,3339,"(D)",4135,4311,4478,4604,4639,4759,4638,4552,4845,5302
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",78.135,82.496,87.812,92.727,100.292,102.638,103.117,102.677,100.000,101.583,98.047,93.694,95.785,100.274
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",76.067,78.944,85.055,90.708,101.383,104.168,104.173,104.314,100.000,101.363,97.869,93.797,97.888,103.965
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",129.706,"(D)","(D)","(D)","(D)",117.634,112.630,99.615,100.000,121.486,109.457,122.032,132.184,141.414
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",172.768,153.890,109.241,113.415,140.302,138.598,100.297,91.482,100.000,145.449,96.770,85.044,103.851,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",127.572,"(D)","(D)","(D)","(D)",116.283,113.431,100.124,100.000,120.119,110.593,125.122,134.566,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",40.272,"(D)","(D)",41.112,"(D)",137.903,118.251,172.793,100.000,69.104,51.430,28.954,35.777,24.794
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)",7.672,24.497,31.072,33.511,79.138,100.000,146.559,100.614,127.645,123.861,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)",37.286,45.671,"(D)","(D)",129.607,184.573,100.000,"(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)",0.000,0.000,0.000,0.000,"(D)",0.000,0.000,0.000,"(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",124.139,119.300,127.035,144.957,175.848,180.835,159.072,134.001,100.000,102.099,102.246,86.681,86.769,83.304
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",55.671,68.721,75.976,77.410,79.643,93.776,99.913,112.377,100.000,93.401,88.746,92.278,101.031,105.964
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
