"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",65,80,134,151,189,178,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",26,35,"(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",387,436,471,448,468,500,724,772,773,766,828,764,798,767
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",306,344,369,386,400,419,635,693,702,705,"(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",81,93,101,63,69,81,89,79,71,61,"(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",566,617,649,910,881,930,993,1031,914,963,1035,1071,1101,1206
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",242,267,261,301,"(D)",350,384,406,342,360,"(D)","(D)","(D)",421
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",109,139,173,386,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",287
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",215,212,216,223,241,"(D)","(D)","(D)","(D)","(D)",421,433,"(D)",498
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)",183,186,193,210,"(D)","(D)",285,305,"(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)",28,29,30,30,28,30,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",499,536,574,600,636,688,719,773,757,765,793,808,833,869
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",48,52,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",451,484,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",247,277,299,317,335,361,372,407,412,423,438,450,468,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",227,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",247,261,274,281,302,308,344,394,386,387,378,401,431,439
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",25,27,24,31,43,49,61,"(D)",55,39,33,35,41,45
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",221,233,250,250,259,258,283,"(D)",332,348,345,366,390,394
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",49,32,33,45,43,42,44,"(D)",34,35,39,45,51,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",173,201,217,205,216,217,239,291,298,313,306,321,339,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",211,217,218,229,239,246,248,244,242,242,251,257,274,280
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1044,1093,1136,1199,1272,1325,1411,1510,1555,1560,1651,1648,1690,1733
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",42,43,44,47,48,50,52,52,53,57,54,54,54,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",24,32,44,45,52,47,49,58,64,64,58,54,52,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",978,1019,1048,1107,1173,1228,1310,1400,1438,1439,1539,1541,1584,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",44,48,59,"(D)","(D)",71,74,83,90,97,87,87,95,87
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",1455,1480,1438,1527,1574,1717,1752,1784,1652,1718,1736,1839,2001,2169
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",274,284,267,290,344,387,382,411,370,410,416,403,542,580
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",3751,3877,4082,3734,3789,4020,3945,3714,3363,3902,4328,4588,4597,4716
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",3986,4232,4357,4750,4987,5315,5744,6047,5760,5902,6021,6110,6609,6923
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",96.344,99.930,103.582,103.095,104.598,108.429,110.256,110.304,100.000,106.305,111.175,111.166,113.877,115.750
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",97.369,101.305,105.506,104.878,106.327,110.810,112.609,112.107,100.000,107.800,112.847,113.181,116.221,118.320
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",19.566,24.253,40.264,4.397,36.506,54.371,58.802,69.706,100.000,107.385,63.057,62.560,70.538,"(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43900","Spartanburg, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
