"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",99,112,19,"(D)",23,"(D)","(D)","(D)","(D)",28,20,25,"(D)","(D)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",48,48,60,"(D)",67,"(D)","(D)","(D)","(D)",77,75,73,79,"(D)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",46,46,59,68,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",69,74,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",2,1,2,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4,5,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",98,117,131,145,161,183,193,225,240,246,266,276,318,333
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",3,6,7,9,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",96,110,124,137,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",46,54,60,65,73,84,84,102,108,116,129,131,167,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",118,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",54,60,62,71,71,76,80,84,87,92,95,102,106,116
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",10,13,13,13,14,15,15,16,17,19,20,22,26,28
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",4,"(D)","(D)","(D)",5,5,5,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",6,"(D)","(D)","(D)",10,10,10,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",44,47,50,57,57,61,65,68,70,73,75,80,81,89
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)",10,9,9,10,12,11,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)","(D)","(D)","(D)","(D)","(D)",58,61,64,65,68,70,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",88,96,98,103,105,114,112,113,117,117,123,129,132,136
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",493,499,536,567,601,635,650,699,695,723,754,746,755,773
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",27,30,32,34,35,35,36,37,38,39,39,40,38,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",19,22,28,29,34,32,32,35,39,40,41,38,36,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",447,447,476,504,533,568,582,627,618,643,674,668,681,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",110,64,72,113,85,65,101,136,85,"(D)",146,145,165,187
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",215,225,244,"(D)",302,337,346,351,344,357,412,379,387,409
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",79,88,91,"(D)",108,119,124,118,117,"(D)",122,117,120,123
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",604,602,790,850,856,900,1055,1113,1164,"(D)",1427,1385,1367,1440
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",968,1075,1138,1258,1333,1420,1510,1608,1602,"(D)",1790,1846,1985,2096
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",71.011,73.673,81.868,86.677,88.553,91.486,96.708,100.892,100.000,105.520,111.674,108.780,110.130,113.441
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",65.205,68.892,78.180,83.926,85.782,89.117,96.053,100.291,100.000,106.623,113.740,110.809,112.626,116.671
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",100.000,"(D)","(D)","(D)","(D)","(D)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",189.099,115.958,113.554,153.524,117.078,85.682,112.668,129.710,100.000,139.036,127.734,130.921,143.942,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",100.000,"(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",100.000,87.877,"(D)","(D)","(D)","(D)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",6.898,5.368,19.049,23.363,49.657,34.752,40.329,124.067,100.000,66.940,77.558,90.975,97.686,"(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)",93.898,101.108,"(D)",100.000,"(D)",100.273,75.070,76.061,73.208
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",84.542,86.538,92.555,107.323,113.520,117.788,124.908,111.100,100.000,124.607,103.304,94.926,99.676,96.759
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",44.663,48.528,67.982,68.992,70.312,76.352,89.036,93.114,100.000,110.873,123.361,114.571,107.414,110.806
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",100.000,107.627,130.891,128.759,124.252,131.298
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)",64.868,70.670,92.770,89.430,87.090,104.988,97.789,100.000,129.432,134.364,"(D)","(D)","(NA)"
"30860","Logan, UT-ID (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
