"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","35","44-45","  Retail trade",107.642,112.873,116.806,118.753,120.393,120.195,113.801,107.137,100.000,101.379,103.232,106.520,112.102,117.424
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","36","48-49","  Transportation and warehousing",96.699,100.892,97.474,106.457,104.901,"(D)",115.548,112.646,100.000,111.155,127.130,"(D)",130.346,"(D)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","37","481","   Air transportation","(D)","(D)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,"(D)","(D)","(D)",0.000,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","38","482","   Rail transportation",102.890,84.965,87.812,100.129,109.187,113.982,124.637,112.382,100.000,95.693,87.146,112.243,106.545,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)",109.997,141.824,141.858,100.000,86.675,5.687,67.282,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","40","484","   Truck transportation",93.328,103.001,102.293,114.003,104.394,112.296,121.026,116.497,100.000,124.278,143.824,"(D)",141.002,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","41","485","   Transit and ground passenger transportation",121.718,128.492,97.789,92.103,92.223,101.729,105.989,110.315,100.000,101.934,110.296,"(D)",135.592,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","42","486","   Pipeline transportation",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)",93.188,"(D)","(D)","(D)","(D)",112.038,114.650,100.000,"(D)","(D)",95.392,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","44","493","   Warehousing and storage",84.978,87.833,84.034,114.284,105.948,114.566,114.175,94.784,100.000,110.125,62.450,"(D)",79.304,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","45","51","  Information",96.324,107.975,108.219,128.189,116.021,110.462,103.732,112.735,100.000,106.017,106.224,106.564,111.236,118.411
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)",79.433,96.500,105.119,"(D)",114.559,118.914,100.000,97.482,100.818,"(D)",107.677,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","47","512","   Motion picture and sound recording industries",79.751,160.699,102.425,82.075,42.958,49.892,70.832,96.007,100.000,106.267,98.669,"(D)",123.133,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","48","515, 517","   Broadcasting and telecommunications",92.190,79.926,85.184,98.542,115.783,109.132,104.959,112.754,100.000,109.809,105.641,"(D)",110.539,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)",711.382,930.119,320.981,"(D)",61.657,95.634,100.000,111.679,169.471,"(D)",127.164,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",104.992,110.821,113.277,108.578,115.847,111.434,97.037,101.410,100.000,110.947,118.147,118.104,117.945,120.275
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","51","52","   Finance and insurance",98.984,114.907,114.757,102.954,100.352,107.660,99.164,86.445,100.000,93.515,94.434,89.967,97.749,102.195
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",74.074,104.436,110.026,82.581,82.636,92.884,85.767,88.479,100.000,93.697,102.213,"(D)",109.846,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","53","523","    Securities, commodity contracts, and investments",142.986,139.750,123.084,121.270,125.848,142.988,92.409,35.248,100.000,95.259,83.853,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","54","524","    Insurance carriers and related activities",127.725,125.652,120.349,131.452,122.599,122.945,128.034,105.736,100.000,94.917,90.060,"(D)",80.757,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",74.269,83.084,96.753,88.373,74.239,56.902,48.560,53.552,100.000,44.216,29.916,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","56","53","   Real estate and rental and leasing",106.360,109.461,112.608,109.837,119.763,112.205,96.262,105.140,100.000,115.150,123.899,124.971,122.785,124.567
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","57","531","    Real estate",98.860,107.825,111.842,"(D)",118.815,110.926,95.241,104.561,100.000,115.497,124.711,"(D)",123.270,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",338.020,159.609,135.501,"(D)",148.207,150.933,127.140,122.456,100.000,104.913,99.943,"(D)",108.714,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","59","54, 55, 56","  Professional and business services",105.109,99.354,98.523,101.839,106.268,108.428,112.311,116.601,100.000,108.372,104.342,92.894,98.102,103.383
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","60","54","   Professional, scientific, and technical services",80.714,83.592,86.076,88.302,103.780,107.646,112.443,120.928,100.000,109.191,103.785,82.935,84.362,86.169
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","64","55","   Management of companies and enterprises",346.151,236.830,145.396,117.274,101.658,90.994,95.757,104.236,100.000,105.760,95.569,124.764,149.693,179.045
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","65","56","   Administrative and waste management services",109.599,106.685,119.061,133.226,114.752,116.158,117.340,109.081,100.000,107.030,108.833,109.730,118.842,125.871
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","66","561","    Administrative and support services",109.560,105.733,118.365,135.030,114.151,116.830,117.242,108.897,100.000,105.281,109.716,"(D)",118.720,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","67","562","    Waste management and remediation services",109.420,114.341,124.562,118.271,119.730,110.451,118.123,110.590,100.000,120.993,102.321,"(D)",120.053,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",81.309,87.771,87.074,90.123,91.946,94.448,96.281,100.481,100.000,101.776,105.262,107.960,111.197,115.523
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","69","61","   Educational services",100.426,104.078,102.986,104.785,103.168,101.695,101.047,101.927,100.000,100.068,93.102,100.535,90.516,92.849
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","70","62","   Health care and social assistance",80.103,86.731,86.058,89.183,91.221,93.977,95.970,100.386,100.000,101.889,106.074,108.450,112.604,117.069
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","71","621","    Ambulatory health care services",94.361,104.748,91.823,94.214,95.726,98.425,99.171,102.599,100.000,135.163,141.742,"(D)",147.680,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities",64.957,69.303,79.965,85.003,88.593,91.791,94.890,99.770,100.000,69.551,71.658,72.792,73.088,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","73","624","    Social assistance",86.442,84.333,89.307,85.607,81.594,82.095,84.560,91.754,100.000,108.018,111.179,"(D)",150.373,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",94.658,110.853,114.851,119.604,121.258,120.577,118.462,110.889,100.000,104.414,111.322,115.025,118.457,124.133
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","75","71","   Arts, entertainment, and recreation",75.102,103.585,109.792,122.467,120.319,122.724,112.549,101.325,100.000,103.415,109.066,111.365,119.210,116.698
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",69.517,114.504,125.494,137.853,137.809,148.087,129.799,107.042,100.000,99.374,113.874,"(D)",128.358,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","77","713","    Amusements, gambling, and recreation industries",78.682,93.255,95.438,108.246,104.285,99.688,96.806,96.076,100.000,107.160,104.501,"(D)",110.578,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","78","72","   Accommodation and food services",100.534,113.015,116.342,118.662,121.479,119.859,120.192,113.723,100.000,104.706,111.981,116.092,118.256,126.260
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","79","721","    Accommodation",89.962,111.670,114.471,114.175,123.526,121.128,127.472,120.369,100.000,106.956,120.017,"(D)",127.078,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","80","722","    Food services and drinking places",105.388,113.763,117.324,120.779,120.738,119.461,117.096,110.903,100.000,103.803,108.742,"(D)",114.709,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","81","81","  Other services, except government",122.203,130.706,126.025,127.384,128.271,126.288,119.615,107.873,100.000,97.643,96.555,97.935,100.371,99.238
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","82","92"," Government",101.328,104.376,103.811,102.652,102.217,102.379,103.511,103.066,100.000,95.887,96.629,93.809,92.927,94.509
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","83","...","  Federal civilian",123.250,117.586,112.245,108.897,109.825,108.084,108.142,104.714,100.000,105.583,95.950,93.865,86.163,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","84","...","  Federal military",72.647,77.453,86.299,92.866,93.217,88.679,88.143,89.165,100.000,91.518,90.201,93.164,89.457,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","85","...","  State and local",101.396,105.146,104.335,102.796,102.167,102.885,104.252,103.978,100.000,95.300,97.184,93.862,93.831,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","86","11, 21","Natural resources and mining",136.412,143.861,93.427,93.924,133.137,109.093,94.972,66.903,100.000,77.380,61.093,97.958,111.396,100.741
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","87","42, 44-45","Trade",96.770,101.693,105.989,110.749,118.268,120.281,118.322,114.053,100.000,103.160,106.938,110.958,115.176,123.581
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","88","...","Transportation and utilities",83.205,92.947,89.069,92.268,88.996,95.918,110.058,113.930,100.000,109.147,114.870,107.079,113.087,116.062
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","89","...","Private goods-producing industries",109.523,107.939,109.009,109.766,117.308,116.918,114.509,105.572,100.000,94.249,98.817,98.176,103.590,105.418
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","90","...","Private services-providing industries",98.819,103.952,105.231,107.130,111.195,110.787,106.658,108.102,100.000,106.372,109.804,109.137,112.013,116.574
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","1","...","All industry total",19948,20602,20804,21058,21908,21841,21229,21016,19654,20129,20786,20603,21186,21891
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","2","..."," Private industries",17522,18103,18314,18592,19445,19376,18739,18537,17249,17824,18465,18351,18957,19625
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",334,342,237,240,379,296,243,169,312,240,174,"(D)",304,280
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","4","111-112","   Farms",278,285,176,175,303,209,164,99,228,152,86,182,177,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",52,53,59,63,69,83,78,74,83,89,96,"(D)",126,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","6","21","  Mining",176,207,108,106,98,95,97,71,49,39,46,"(D)",101,85
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)",37,28,18,17,23,27,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","8","212","   Mining, except oil and gas",70,61,57,58,47,48,"(D)","(D)","(D)","(D)",21,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","10","22","  Utilities",236,287,272,264,248,"(D)",348,382,332,356,346,"(D)",325,"(D)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","11","23","  Construction",1778,1702,1749,1886,1914,1838,1729,1436,1134,1044,1045,1089,1156,1143
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","12","31-33","  Manufacturing",2500,2470,2625,2552,2689,2829,2891,2929,2852,2778,3058,2801,2908,3057
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","13","...","   Durable goods manufacturing",1390,1340,1387,1333,1421,1396,1382,"(D)",1437,1428,1680,1411,1510,1485
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","14","321","    Wood products manufacturing",33,30,33,30,35,33,38,37,27,27,37,"(D)",29,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",81,76,80,88,91,80,64,58,43,47,35,"(D)",35,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","16","331","    Primary metals manufacturing",6,9,11,10,10,9,4,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","17","332","    Fabricated metal products",90,83,73,75,77,79,93,96,81,88,106,"(D)",100,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","18","333","    Machinery manufacturing",161,122,133,188,265,241,246,237,167,185,212,"(D)",187,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing",442,482,521,438,499,489,478,585,567,584,817,"(D)",648,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",25,8,16,27,26,26,29,30,23,27,28,"(D)",15,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",12,15,"(D)",9,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","23","337","    Furniture and related products manufacturing",27,28,35,36,43,48,43,40,33,33,33,"(D)",37,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","24","339","    Miscellaneous manufacturing",550,457,416,417,345,349,353,370,473,420,397,"(D)",446,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","25","...","   Nondurable goods manufacturing",1058,1095,1215,1202,1245,1434,1519,"(D)",1415,1350,1380,1384,1397,1562
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing",871,905,1012,985,1053,1239,1279,1184,1207,1136,1120,1131,1098,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","27","313-314","    Textile mills and textile product mills",10,8,8,11,6,6,4,4,5,10,5,6,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)",11,11,13,"(D)","(D)","(D)",12,"(D)","(D)","(D)",19,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,4,"(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","30","323","    Printing and related support activities",48,51,47,46,46,45,52,47,44,45,45,"(D)",48,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)",25,12,33,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","32","325","    Chemical products manufacturing",61,56,73,93,56,69,68,68,64,75,116,"(D)",116,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","33","326","    Plastics and rubber products manufacturing",52,57,62,54,50,62,69,67,70,63,60,"(D)",45,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","34","42","  Wholesale trade",840,887,938,1033,1207,1263,1314,1307,1053,1113,1181,1234,1258,1392
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","35","44-45","  Retail trade",1609,1688,1746,1776,1800,1797,1702,1602,1495,1516,1544,1593,1676,1756
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","36","48-49","  Transportation and warehousing",270,282,272,297,293,"(D)",323,315,279,311,355,"(D)",364,"(D)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","37","481","   Air transportation","(D)","(D)","(L)","(L)","(L)","(L)",2,"(L)","(L)","(D)","(D)","(D)",35,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","38","482","   Rail transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)",1,1,1,1,1,"(L)","(L)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","40","484","   Truck transportation",99,110,109,121,111,120,129,124,106,132,153,"(D)",150,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","41","485","   Transit and ground passenger transportation",55,58,44,42,42,46,48,50,45,46,50,"(D)",61,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)",91,"(D)","(D)","(D)","(D)",109,112,98,"(D)","(D)",93,"(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","44","493","   Warehousing and storage",25,26,25,34,31,34,34,28,29,32,18,"(D)",23,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","45","51","  Information",547,614,615,729,659,628,590,641,568,603,604,606,632,673
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)",133,162,176,"(D)",192,199,167,163,169,"(D)",180,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","47","512","   Motion picture and sound recording industries",31,63,40,32,17,20,28,38,39,42,39,"(D)",48,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","48","515, 517","   Broadcasting and telecommunications",313,271,289,335,393,371,356,383,340,373,359,"(D)",375,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)",159,207,72,"(D)",14,21,22,25,38,"(D)",28,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",4116,4345,4441,4257,4542,4369,3804,3976,3920,4350,4632,4630,4624,4715
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","51","52","   Finance and insurance",740,859,858,770,750,805,741,646,748,699,706,673,731,764
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",280,394,415,312,312,351,324,334,378,354,386,"(D)",415,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","53","523","    Securities, commodity contracts, and investments",142,139,123,121,125,142,92,35,100,95,84,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","54","524","    Insurance carriers and related activities",330,325,311,340,317,318,331,273,259,245,233,"(D)",209,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",9,10,12,11,9,7,6,6,12,5,4,"(D)","(D)","(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","56","53","   Real estate and rental and leasing",3375,3473,3573,3485,3800,3560,3054,3336,3173,3653,3931,3965,3896,3952
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","57","531","    Real estate",3034,3309,3432,"(D)",3646,3404,2923,3209,3069,3545,3827,"(D)",3783,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",351,166,141,"(D)",154,157,132,127,104,109,104,"(D)",113,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","59","54, 55, 56","  Professional and business services",2144,2027,2010,2078,2168,2212,2291,2379,2040,2211,2129,1895,2001,2109
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","60","54","   Professional, scientific, and technical services",1100,1139,1173,1203,1414,1467,1532,1648,1362,1488,1414,1130,1149,1174
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","64","55","   Management of companies and enterprises",583,399,245,197,171,153,161,175,168,178,161,210,252,301
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","65","56","   Administrative and waste management services",558,543,606,679,584,592,598,556,509,545,554,559,605,641
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","66","561","    Administrative and support services",497,480,537,612,518,530,532,494,454,478,498,"(D)",538,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","67","562","    Waste management and remediation services",61,64,69,66,67,62,66,62,56,67,57,"(D)",67,"(NA)"
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",1504,1624,1611,1667,1701,1747,1781,1859,1850,1883,1947,1997,2057,2137
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","69","61","   Educational services",115,119,118,120,118,117,116,117,115,115,107,115,104,106
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","70","62","   Health care and social assistance",1390,1505,1493,1548,1583,1631,1665,1742,1735,1768,1841,1882,1954,2032
"42220","Santa Rosa, CA (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","71","621","    Ambulatory health care services",729,809,709,728,740,760,766,793,773,1044,1095,"(D)",1141,"(NA)"
