"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)",56,"(D)","(D)","(D)","(D)","(D)","(D)",77,76,79,82,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",498,522,537,565,675,697,780,852,825,912,949,1021,1043,1118
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)",248,"(D)","(D)","(D)","(D)",424,470,447,454,476,495,"(D)","(D)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",97,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",227,247
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)",175,177,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",22,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",886,993,1081,1136,1197,1268,1317,1445,1550,"(D)","(D)","(D)","(D)",1997
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)",81,86,86,97,107,114,117,119,119,"(D)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)","(D)",1116,1182,1231,1348,1444,"(D)","(D)","(D)","(D)","(D)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",368,374,427,458,479,514,516,554,588,616,628,616,782,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",106,108,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",283,311,320,343,351,376,386,384,367,390,404,421,433,463
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",53,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",96,102
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",229,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",338,361
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",67,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",84,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",163,186,"(D)","(D)","(D)",218,221,227,"(D)","(D)",238,248,253,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",237,262,254,264,237,239,239,230,233,245,253,264,276,287
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",567,609,664,708,735,764,773,809,870,942,963,953,938,966
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",148,157,166,170,170,176,171,151,175,208,221,212,164,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",25,33,46,50,56,54,58,65,73,74,76,68,66,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",394,419,452,487,509,534,544,594,622,659,666,674,708,"(NA)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",117,136,170,266,164,"(D)",260,337,425,412,616,384,"(D)","(D)"
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",1258,1318,1407,1495,1584,1650,1746,1812,1840,1935,2047,2171,2221,2410
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",295,317,339,370,417,454,451,479,475,493,511,511,"(D)",561
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",1262,1724,1296,1521,1550,1686,1740,1861,1860,1840,2134,2037,2293,2270
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",7534,8823,9410,9740,10230,10605,11283,11636,11446,11959,12807,13904,14352,15065
"43620","Sioux Falls, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",74.501,87.365,87.589,89.893,92.120,93.758,96.509,98.979,100.000,102.090,108.028,111.266,112.968,114.911
