"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",231,250,276,301,345,341,387,437,457,469,492,525,550,571
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",112,124,144,148,164,169,185,220,236,239,241,"(D)",266,"(NA)"
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",207,"(D)","(NA)"
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",188,200,219,224,220,225,235,240,244,279,307,311,302,314
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)",103,"(D)",96,"(D)",110,114,113,145,167,160,153,162
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)",33,"(D)",23,"(D)","(D)","(D)",19,"(D)","(D)","(D)","(D)",20,"(NA)"
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",27,"(D)","(D)","(D)","(D)",85,"(D)",95,"(D)","(D)","(D)","(D)",133,"(NA)"
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)",116,"(D)",124,"(D)",125,126,131,134,140,151,150,152
"20100","Dover, DE (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
