"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation",1,"(L)","(L)","(L)","(L)",1,2,3,2,2,"(L)",1,1,"(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",40,36,37,"(D)","(D)","(D)",43,60,44,43,33,29,29,"(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)",7,"(D)",8,8,9,9,9,"(D)",9,8,7,"(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",1,1,1,1,1,1,1,1,1,1,1,1,1,"(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",300,353,"(D)",407,418,400,408,434,402,"(D)","(D)","(D)","(D)",422
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",29,"(D)",45,51,44,"(D)","(D)","(D)","(D)",21,"(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)",32,"(D)","(D)","(D)",14,"(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1614,1363,1258,1286,1351,1454,1565,1371,1593,1544,1628,1711,1768,1726
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",754,799,755,809,871,942,969,788,904,953,1010,"(D)",1206,1125
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",211,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",113,106,12,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",389,435,541,570,603,621,478,553,574,599,678,755,"(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",860,565,503,477,480,512,596,583,689,591,618,"(D)",562,601
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)",247,256,267,339,402,506,"(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)",230,224,245,257,181,184,"(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",542,588,641,652,688,672,719,776,788,788,773,780,755,846
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",346,369,380,386,396,391,426,465,459,450,464,459,446,501
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",52,54,70,64,71,68,71,73,73,78,72,78,79,93
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",144,164,192,202,221,213,222,239,257,261,237,242,230,252
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",114,"(D)","(D)","(D)","(D)",171,182,198,"(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",30,"(D)","(D)","(D)","(D)",42,40,41,"(D)","(D)","(D)","(D)","(D)","(NA)"
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",911,958,971,1022,1089,1145,1200,1327,1437,1484,1566,1618,"(D)",1674
"44100","Springfield, IL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
