"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",337,377,400
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",9,8,9,10,10,11,12,14,14,14,18,23,23,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",135,140,133,128,136,142,137,124,108,112,115,125,123,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)","(D)","(D)","(D)","(D)","(D)",6,"(D)","(D)",4,5,"(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",123,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)",69,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",178,216,258,291,306,314,324,320,316,296,312,303,312,319
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",9,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",16,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",989,934,961,962,1089,1164,1217,1183,1133,1156,1232,1259,1344,1379
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",543,510,497,479,530,566,571,525,479,505,590,577,625,622
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",385,419,411,393,426,454,456,429,377,395,465,450,474,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)",20,16,10,"(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",76,69,68,"(D)",83,82,90,77,80,86,96,105,119,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)",10,9,9,"(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",446,424,464,483,559,598,646,657,654,651,642,682,719,757
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",407,363,397,419,488,519,571,578,579,574,553,577,611,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",40,62,67,64,71,79,75,79,75,77,89,105,107,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",320,342,391,442,499,536,526,527,509,504,551,568,607,651
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",184,186,219,243,287,315,311,320,315,283,311,307,285,262
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",23,23,22,29,30,33,35,36,33,35,36,36,93,100
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",114,133,151,170,182,188,180,172,161,186,204,224,228,289
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",95,112,"(D)",143,156,164,156,146,136,161,181,201,204,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",19,21,"(D)",27,26,25,24,26,25,26,22,23,24,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",489,541,583,626,645,697,734,798,837,834,876,918,939,965
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",19,22,26,29,30,31,34,38,44,42,41,45,42,41
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",470,518,558,597,615,666,700,760,792,792,835,873,897,924
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",212,232,253,277,294,319,339,371,381,378,398,420,426,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services","(D)","(D)","(D)","(D)",235,244,251,248,254,264,274,294,296,296
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)","(D)","(D)",30,33,37,36,38,39,47,50,49,49
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",6,4,5,5,5,"(D)",5,6,"(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)",25,"(D)",31,30,"(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",152,160,169,190,205,211,214,211,216,225,226,245,247,247
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",35,38,37,44,46,44,44,41,38,39,37,39,39,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",117,122,132,146,159,167,170,171,179,185,190,205,208,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",153,168,170,178,191,204,207,198,199,204,202,207,214,219
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",894,949,1002,1035,1117,1212,1308,1443,1505,1539,1573,1585,1598,1613
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",331,351,371,380,401,435,475,554,581,579,598,602,604,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",32,38,50,53,62,60,65,72,77,78,78,74,73,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",531,560,580,601,654,717,767,816,847,883,897,909,921,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",42,"(D)","(D)",75,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",76,124
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1226,1260,1274
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",358,363,355,364,375,393,388,383,386,413,448,454,486,513
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",1138,"(D)","(D)",1394,1490,1614,1496,1428,1370,1350,1403,1427,1335,1414
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",3525,"(D)","(D)",4045,4384,4643,4698,4690,4645,4762,5001,5228,5458,5616
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",89.543,92.070,94.396,97.983,102.668,106.364,103.814,102.739,100.000,100.703,103.335,104.128,103.836,105.011
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",91.831,94.597,97.268,102.010,107.125,110.806,106.847,103.903,100.000,101.081,104.358,105.447,105.343,106.912
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",77.257,42.530,77.772,119.727,143.484,116.492,90.218,91.715,100.000,100.798,109.851,90.250,98.185,"(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",11311.980,8006.168,3944.854,2208.430,1109.444,690.373,360.663,65.153,100.000,67.048,43.388,55.773,"(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0.000,0.000,"(D)","(D)","(D)","(NA)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",105.796,113.955,124.454,132.925,139.447,132.549,119.089,108.677,100.000,91.290,86.946,"(D)",88.617,79.563
