"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",3301,3519,3744,4085,4364,4604,4555,4840,5309,5344,5405,5311,5279,5172
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",213,220,229,244,258,363,367,371,347,342,331,327,312,"(NA)"
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",71,91,127,127,146,135,144,186,203,220,183,172,172,"(NA)"
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",3017,3208,3388,3713,3961,4106,4043,4283,4759,4782,4890,4811,4794,"(NA)"
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",444,354,447,487,480,574,643,672,585,851,943,869,"(D)",652
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",3022,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4771,4861
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",1658,1591,1605,1723,1727,1856,2008,2001,1858,2043,2063,"(D)",2062,"(D)"
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",6709,7928,9976,12032,17828,16494,15633,15103,14743,18091,19506,21458,19181,20077
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",13149,13705,14460,15005,15961,18046,19240,20506,20496,21434,22054,23463,25102,25900
"12940","Baton Rouge, LA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",76.587,82.885,89.133,93.897,105.043,101.507,98.472,99.055,100.000,106.344,103.176,106.918,105.099,108.633
