"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1028,1014,1174,1198,1264,1314,1380,1409,1411,1393,1420,1562,1695,1893
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",373,426,467,480,461,486,464,441,428,445,479,475,526,558
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",187,214,233,226,195,209,190,196,184,"(D)","(D)",218,235,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)",42,36,40,55,54,"(D)",39,37,"(D)","(D)","(D)",48,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",161,192,207,204,218,"(D)",202,204,"(D)","(D)","(D)",234,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",5,8,7,7,8,5,5,4,3,"(D)","(D)",7,9,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",654,589,706,718,803,828,916,968,984,947,940,1087,1169,1335
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",424,374,446,499,558,518,"(D)",611,659,"(D)","(D)","(D)","(D)","(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",231,214,260,219,244,310,"(D)",357,324,"(D)","(D)","(D)","(D)","(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",824,864,942,1008,1060,1150,1220,1363,1291,1333,1329,1416,1498,1580
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)","(D)","(D)",649,707,747,778,692,705,681,747,771,822
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)",14,17,21,"(D)","(D)",70,68,78,"(D)",108
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",318,328,369,384,397,426,453,"(D)","(D)",558,580,590,"(D)",650
