"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)",21,"(D)","(D)","(D)","(D)",18,18,19,18,13,16,16,16
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",67,74,"(D)","(D)","(D)","(D)",115,101,105,103,99,107,114,121
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",234,273,292,304,319,344,366,408,428,416,426,447,470,488
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",9,9,11,13,10,"(D)",11,"(D)","(D)","(D)",13,18,15,13
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",225,264,281,292,309,"(D)",354,"(D)","(D)","(D)",413,430,455,474
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",126,153,161,169,177,190,194,210,214,217,227,"(D)",247,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",167,171,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",37,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",74,86,"(D)",94,98,104,103,110,107,114,127,133,137,142
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",11,14,"(D)",14,14,16,16,18,18,20,21,23,24,26
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)",5,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)",11,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",63,72,76,80,83,88,88,92,89,94,106,110,112,116
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",10,12,13,"(D)",14,15,13,14,9,11,16,"(D)",18,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",53,61,62,"(D)",69,73,75,79,80,83,90,"(D)",94,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",117,132,128,134,143,155,149,142,139,142,138,139,145,172
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",949,1020,1076,1143,1205,1278,1359,1405,1417,1452,1549,1665,1773,1814
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",108,113,119,130,140,141,150,144,146,149,148,144,139,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",326,374,383,404,426,449,452,458,489,529,604,720,817,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",515,533,575,609,639,688,758,802,781,774,798,801,817,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",271,260,334,342,282,365,407,642,745,731,768,632,636,576
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",632,"(D)","(D)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",281,"(D)","(D)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",672,610,725,773,744,865,926,1124,1141,1113,1139,1016,1041,994
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",1540,1848,2031,2182,2325,2395,2360,2337,2340,2289,2363,2458,2539,2665
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",79.767,85.983,91.342,93.574,94.881,97.577,95.242,97.340,100.000,95.922,95.010,94.698,96.752,97.111
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",75.044,82.516,89.914,92.457,94.110,97.231,93.223,96.063,100.000,94.380,91.238,88.438,88.999,89.228
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",39.593,40.070,47.114,41.501,37.349,49.067,40.448,65.564,100.000,88.333,71.680,55.933,57.488,53.122
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",35.622,35.795,42.696,36.564,33.007,44.380,34.442,62.533,100.000,85.983,67.358,50.169,51.582,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",77.565,80.512,89.755,88.818,78.991,95.556,97.707,91.451,100.000,106.865,109.485,111.853,114.755,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",31.308,39.780,38.951,35.519,35.247,46.941,60.930,64.306,100.000,66.688,59.160,62.987,40.802,30.478
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",100.000,"(D)","(D)","(D)","(D)","(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",168.819,139.288,152.985,169.249,169.810,165.410,153.121,122.867,100.000,96.342,85.845,85.011,88.639,93.328
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",108.359,92.965,100.410,100.724,99.198,108.445,119.854,126.621,100.000,98.083,100.861,98.956,100.513,95.348
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing",212.729,217.753,206.905,188.591,172.307,151.684,157.235,140.572,100.000,91.797,98.794,"(D)",108.164,"(NA)"
"49700","Yuba City, CA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)",286.287,"(D)",236.734,155.201,100.000,95.311,98.021,"(D)",101.276,"(NA)"
