"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",138,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",46,51,25,27,35,36,43,32,31,32,34,43,54,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",1,2,1,1,2,1,1,2,1,2,2,3,"(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing","(D)",236,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",116,130,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)",106,100,107,111,157,166,331,322,311,366,530,600,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services","(D)",310,346,375,450,538,625,726,643,767,886,"(D)","(D)",1280
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",192,"(D)","(D)",232,268,319,355,"(D)","(D)","(D)","(D)",574,625,661
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",23,26,35,"(D)","(D)","(D)","(D)",137,117,186,215,247,224,370
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",249
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",15,10,14,16,20,16,18,23,19,26,22,25,31,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",207,213,225,240,246,270,285,315,331,373,400,411,416,413
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",16,17,18,19,19,20,23,26,26,27,"(D)","(D)","(D)",30
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",191,196,207,221,226,250,262,289,305,346,"(D)","(D)","(D)",383
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",137,146,152,160,166,184,195,212,227,261,287,290,289,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",137,146,"(D)",154,165,172,195,222,240,244,265,295,344,399
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)",27,"(D)","(D)","(D)","(D)","(D)",50,"(D)","(D)","(D)","(D)","(D)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",8,10,10,10,10,10,11,11,13,14,14,16,17,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)",17,"(D)","(D)","(D)","(D)","(D)",37,"(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",190,"(D)","(D)","(D)","(D)","(D)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",15,15,15,16,17,19,26,26,21,"(D)","(D)","(D)","(D)","(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",168,"(D)",182,197,226,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",124,124,129,138,146,164,170,181,184,188,193,218,240,"(D)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",433,466,494,495,507,520,559,592,634,650,652,690,721,739
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",49,52,57,60,59,62,64,67,70,70,67,67,65,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",5,7,10,11,12,11,12,15,17,16,15,14,14,"(NA)"
"33260","Midland, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",379,407,427,424,436,447,483,510,547,564,570,609,643,"(NA)"
