"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",27,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",224,257,295,284,243,244,211,217,237,194,197,209,227,230
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",101,106,127,128,83,84,73,69,61,59,62,62,75,75
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services","(D)","(D)","(D)","(D)",59,"(D)",48,45,41,40,43,42,50,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)",63,69,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",122,151,167,156,160,160,138,148,176,136,136,147,153,154
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",97,103,"(D)","(D)","(D)","(D)",96,94,"(D)",86,"(D)","(D)","(D)","(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",25,48,"(D)","(D)","(D)","(D)",41,54,"(D)",50,"(D)","(D)","(D)","(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",87,111,148,160,155,162,159,179,158,166,178,183,183,185
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",36,"(D)","(D)","(D)","(D)","(D)","(D)",61,54,55,56,"(D)","(D)","(D)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",2,"(D)","(D)","(D)","(D)","(D)","(D)",24,23,21,21,"(D)","(D)","(D)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",49,69,88,96,93,89,80,94,82,89,102,107,101,109
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",43,61,"(D)","(D)","(D)","(D)",72,88,"(D)","(D)",94,94,95,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",6,8,"(D)","(D)","(D)","(D)",9,7,"(D)","(D)",7,12,6,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",155,158,176,213,220,231,238,255,262,268,274,280,279,281
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",71,67,74,110,109,112,114,121,128,135,136,141,145,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",93,"(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",10,10,"(D)","(D)","(D)","(NA)"
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",59,64,67,69,71,75,75,80,75,79,84,105,110,116
"34100","Morristown, TN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",7,10,11,12,11,12,9,11,9,10,10,11,12,12
