"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",362,364,395,393,422,480,492,453,504,503,490,495,513,472
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",139,143,149,155,179,210,204,197,191,199,224,230,252,199
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",71,79,79,82,103,121,129,131,126,137,163,"(D)",179,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",7,6,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",61,58,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",56,"(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(L)","(L)","(L)","(D)","(D)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",222,221,246,238,243,270,288,256,313,304,266,265,261,273
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",163,"(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",103,"(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",173,172,194,216,206,211,229,250,233,247,258,260,256,269
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",115,"(D)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",27,28
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",56,61,70,75,67,69,78,"(D)",85,"(D)","(D)","(D)",114,"(D)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",91,"(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",341,365,398,403,411,432,445,472,489,494,503,520,525,527
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",4,4,"(D)",4,"(D)","(D)","(D)",4,4,4,4,5,"(D)","(D)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",337,362,"(D)",399,"(D)","(D)","(D)",468,485,490,499,515,"(D)","(D)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",169,183,203,203,212,218,221,233,244,243,257,"(D)",258,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",109,117,122,135,142,147,151,154,164,169,173,190,202,209
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",11,12,"(D)",14,14,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",98,105,"(D)",121,128,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)",18,19,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)",94,103,109,113,117,120,132,131,132,"(D)",150,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",103,113,115,118,119,122,"(D)","(D)","(D)","(D)","(D)",135,140,143
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",600,637,675,743,850,869,946,1039,1077,1113,1132,1114,978,992
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",235,265,281,337,414,414,470,543,552,562,579,548,412,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",10,12,19,19,23,23,22,23,25,24,22,21,20,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",355,360,375,388,412,431,453,473,500,527,532,545,546,"(NA)"
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",86,81,91,124,"(D)",83,104,115,61,85,107,114,155,173
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)",727,"(D)","(D)","(D)","(D)","(D)",747,"(D)","(D)"
