"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1090,1094,1072,1070,1121,1163,1308,1396,1366,1429,1398,1597,1710,1677
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",415,423,"(D)",373,401,390,380,355,338,318,329,349,345,350
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services","(D)","(D)","(D)",251,260,238,233,225,204,177,190,183,179,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",676,671,"(D)",697,720,773,928,1041,1028,1111,1069,1248,1365,1327
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",519,566,598,609,635,670,742,776,765,763,888,802,"(D)",886
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)",348,"(D)","(D)","(D)","(D)",392,"(D)","(D)","(D)","(D)","(D)","(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)",226,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",309,326,372
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",237,257,"(D)",283,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",43,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",876,948,1013,1096,1149,1224,1284,1387,1527,1576,1612,1671,1689,1727
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)",20,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)",1076,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",424,460,488,528,530,555,571,"(D)",673,"(D)",728,"(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",801,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",74,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",261,288,283,295,303,305,311,321,331,341,355,376,"(D)",398
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)","(D)","(D)","(D)",42,"(D)",44,"(D)","(D)",49,"(D)",61,"(D)","(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)",26,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",52,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)","(D)",262,"(D)",268,"(D)","(D)",292,"(D)",315,316,"(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",32,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",284,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",219,255,264,276,287,298,295,280,280,275,275,283,286,301
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",1125,1194,1259,1314,1391,1464,1509,1581,1653,1678,1689,1722,1727,1740
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",257,284,296,312,323,338,354,381,411,389,385,377,377,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",42,50,64,70,80,78,80,88,95,93,95,95,92,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",826,860,899,932,988,1047,1075,1112,1148,1197,1208,1249,1257,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",168,"(D)",148,186,277,367,382,396,480,504,598,500,575,619
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1739,1752
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities","(D)",770,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1035,1050
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",2048,2060,2195,2478,2830,3125,3226,3392,3321,3514,3637,3827,4385,4611
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",5136,5404,5561,5833,6090,6374,6719,7101,7180,7377,7586,7720,7905,8025
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",85.639,88.799,89.735,91.687,92.804,94.074,95.039,98.472,100.000,99.391,96.884,97.472,102.818,105.592
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",84.630,87.957,88.872,91.214,92.262,93.558,94.812,98.546,100.000,99.510,96.822,97.423,103.782,107.095
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",68.921,285.342,117.634,72.890,110.965,138.780,59.335,89.347,100.000,75.184,99.834,106.785,164.226,"(NA)"
