"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services","(D)",1043,1084,1151,1201,1275,1327,1336,1340,1425,1483,1552,1514,1533
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation","(D)",254,"(D)",265,271,282,299,294,305,327,336,374,386,348
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)",104,105,"(D)","(D)","(D)","(D)",124,128,134,144,177,185,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)",150,"(D)","(D)","(D)","(D)","(D)",171,178,193,192,197,201,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",775,789,"(D)",886,930,993,1028,1042,1035,1098,1147,1178,1128,1185
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",157,"(D)","(D)",189,202,231,221,"(D)",186,205,221,204,197,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",618,"(D)","(D)",697,728,763,807,"(D)",849,893,926,974,931,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",746,778,795,833,874,892,894,938,991,996,1048,1104,1117,1139
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",4431,4583,4930,5275,5499,5543,5811,6135,6489,6669,6720,6781,6933,7064
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",413,445,468,486,495,509,523,549,551,590,584,591,608,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",82,93,113,120,123,108,106,118,132,130,132,128,128,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",3936,4045,4349,4669,4881,4926,5182,5468,5806,5949,6004,6061,6197,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",302,"(D)","(D)","(D)","(D)",341,"(D)","(D)","(D)","(D)",639,"(D)",663,654
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",1220,1210,1162,1187,1223,1305,1286,1298,1293,1396,"(D)",1356,"(D)","(D)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",12366,12806,12871,13229,13243,14452,13547,12774,13167,12576,11707,11763,12420,11799
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",21421,22308,23388,24597,26144,26600,26916,27348,28463,29921,31249,33034,33515,34415
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",96.147,98.464,100.515,102.820,104.106,105.064,101.671,99.260,100.000,101.352,100.498,101.702,102.135,101.100
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",96.725,99.368,101.249,103.638,105.081,106.664,102.670,99.580,100.000,101.562,100.749,102.264,102.690,101.482
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",64.058,57.372,59.714,53.445,51.789,66.219,78.607,92.578,100.000,103.462,85.838,75.566,84.064,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",330.862,61.070,76.161,115.898,167.904,183.928,210.488,107.474,100.000,79.525,191.016,240.281,179.126,"(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",111.318,104.428,104.950,108.148,104.702,97.275,96.840,98.953,100.000,104.683,108.020,115.326,114.624,109.690
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",114.547,120.138,119.728,123.137,119.575,130.059,117.939,103.997,100.000,94.704,83.167,78.634,81.609,75.150
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",110.059,106.101,93.772,101.267,106.247,"(D)",120.927,121.185,100.000,103.496,106.692,105.060,111.944,108.904
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"40380","Rochester, NY (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
