"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1,1,"(L)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",468,516,519,498,526,587,490,417,407,460,364,372,363,368
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",126,131,116,107,115,131,140,123,118,123,114,117,106,95
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",81,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",42,42,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",50,53,60,61,76,80,65,60,50,53,49,40,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",342,385,403,391,411,456,350,294,289,337,250,256,257,273
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)",366,382,415,314,264,262,308,224,230,"(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)",26,29,42,36,29,27,29,27,25,"(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",155,160,159,169,188,183,190,218,211,240,253,280,281,276
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",82,94,91,95,102,108,105,122,113,130,128,147,139,135
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",10,8,7,"(D)","(D)","(D)",27,"(D)","(D)","(D)","(D)","(D)","(D)",32
