"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",99,120,151,166,199,267,330,363,361,344,345,357,344,382
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",42,53,60,68,82,88,120,123,120,124,227,223,196,201
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises",9,9,9,9,10,11,11,11,8,8,9,9,10,17
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services",48,58,82,88,108,168,198,228,234,212,109,125,138,164
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",45,50,58,54,68,130,162,199,201,194,94,104,114,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services",3,9,24,34,39,38,36,28,33,19,15,22,23,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",215,236,268,300,321,346,359,389,411,420,436,460,465,471
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",4,6,7,10,11,13,15,15,16,15,16,17,17,18
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",211,230,261,290,310,333,345,375,395,405,420,443,448,453
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",95,105,121,133,144,153,148,163,174,180,193,208,212,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)",108,124,132,144,157,172,180,183,187,"(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)",31,33,34,37,39,40,41,42,40,"(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",109,118,119,152,153,157,159,156,159,164,165,176,175,175
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",7,8,8,9,9,9,9,8,9,9,9,18,13,12
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",2,2,2,2,2,2,2,2,2,2,2,2,2,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",5,6,6,7,7,7,6,5,7,7,7,16,11,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",102,110,111,143,144,148,151,149,150,155,156,158,162,163
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",35,37,33,39,42,48,37,43,43,42,43,43,42,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",67,73,78,104,102,100,113,106,107,113,113,115,120,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",78,82,80,88,93,103,108,108,107,105,105,107,110,114
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",898,917,1007,1099,1183,1285,1396,1524,1582,1702,1782,1825,1802,1808
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",203,230,242,270,304,327,363,397,422,446,467,469,445,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",278,251,290,324,335,357,397,464,536,589,616,629,614,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",417,436,475,506,544,601,636,663,623,667,698,727,743,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",580,757,625,827,798,792,904,701,742,925,1073,782,883,849
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",437,445,471,513,556,596,632,641,596,558,571,605,637,665
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",87,98,111,136,135,160,158,158,150,155,153,144,151,155
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",863,1078,982,1261,1307,1375,1547,1233,1230,1362,1492,1217,1302,1252
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",1370,1533,1705,1889,2025,2211,2405,2459,2476,2339,2246,2290,2374,2428
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",73.079,81.733,82.351,90.467,95.184,99.972,103.493,98.507,100.000,99.355,96.667,91.554,92.337,90.938
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",71.457,84.142,83.788,93.796,99.556,104.842,108.230,98.862,100.000,97.159,92.147,84.434,86.660,85.182
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)",101.595,109.996,"(D)","(D)",79.985,100.000,111.374,106.301,76.101,83.575,79.197
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",84.545,133.525,84.577,107.142,121.769,104.961,97.799,65.899,100.000,115.823,105.083,57.699,69.145,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)",93.228,92.028,"(D)","(D)",100.174,100.000,105.517,109.342,110.590,110.481,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)",172.933,244.028,"(D)","(D)",100.909,100.000,101.019,86.311,87.566,136.635,174.334
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",0.000,4.714,80.036,38.333,109.292,157.101,228.053,62.405,100.000,"(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities",98.494,103.542,99.116,116.531,106.310,120.049,115.526,104.685,100.000,113.461,114.687,101.963,104.593,111.294
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",90.018,106.118,121.202,141.055,156.526,160.965,150.107,129.906,100.000,83.112,76.507,80.142,74.223,66.575
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",68.536,70.557,72.146,85.006,89.593,103.905,133.749,98.840,100.000,99.053,93.517,88.925,84.396,80.161
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",177.508,131.217,146.930,162.568,144.768,150.662,177.251,138.907,100.000,141.948,143.289,154.254,182.622,164.697
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing",78.036,80.973,129.806,152.429,188.511,160.980,125.853,130.126,100.000,69.040,83.914,92.738,91.040,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",34.555,41.013,149.117,164.663,186.026,242.645,264.509,157.134,100.000,88.851,87.860,86.961,88.739,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","17","332","    Fabricated metal products",88.663,217.198,152.754,196.770,207.255,159.536,147.051,134.809,100.000,84.476,130.589,120.366,156.227,"(NA)"
