"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",2522,2508,2540,2553,2660,2726,2996,2639,2829,2915,3045,3268,3449,3533
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",1338,1308,1307,1400,1421,1475,1689,1290,1402,1383,1419,1501,1580,1611
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",313,433,455,436,347,304,269,277,241,236,228,246,250,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",75,79,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1176,1248,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)",13,18,5,2,2,4,3,5,4,4,4,3,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",1184,1200,1232,1153,1239,1251,1307,1349,1427,1532,1626,1768,1870,1922
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",1051,1087,1120,1039,1115,1132,1182,1246,1331,"(D)","(D)",1655,1751,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",134,113,112,113,124,119,124,102,96,"(D)","(D)",112,119,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",1065,1081,1096,1119,1190,1251,1312,1372,1305,1353,1464,1479,1445,1493
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)","(D)",559,575,595,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",692,710
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",224,235
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)","(D)","(D)",507,540,530,503,540,551,534,529,547
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services",287,298,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",468,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",60,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",1665,1649,1621,1702,1748,1902,1961,2012,2032,2062,2097,2225,2296,2406
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services",73,"(D)",88,95,101,120,"(D)","(D)","(D)","(D)","(D)",160,168,159
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance",1592,"(D)",1533,1607,1647,1782,"(D)","(D)","(D)","(D)","(D)",2065,2127,2248
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services","(D)","(D)",832,849,852,897,917,909,868,840,882,920,924,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1063,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",140,"(NA)"
"23060","Fort Wayne, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",408,436,457,478,484,488,490,496,496,497,517,551,564,578
