"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)",131,"(D)","(D)","(D)",152,148,157,"(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",118,113,128,145,173,224,216,278,250,265,325,332,342,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation","(D)","(D)","(D)","(D)",207,223,235,235,198,189,192,201,203,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",52,56,54,"(D)","(D)",59,59,60,58,61,"(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,3,"(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",70,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information","(D)","(D)","(D)","(D)",1247,1379,"(D)","(D)","(D)","(D)","(D)",1860,1709,1756
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",151,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",38,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)",40,"(D)",43,"(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",5240,5549,5312,5468,5923,6037,6287,6544,7043,7590,8196,8274,8509,8640
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",1124,1211,1219,"(D)","(D)","(D)",1337,1326,1365,"(D)",1428,1444,1553,1558
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",466,538,529,511,556,574,520,523,481,461,476,505,"(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)",86,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",541,571,"(D)","(D)","(D)",714,735,784,"(D)",827,793,"(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",4116,4338,4094,"(D)","(D)","(D)",4949,5218,5678,"(D)",6768,6831,6956,7082
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",3808,4052,4150,4292,4528,4708,4900,5083,5007,4962,5079,5022,5038,5187
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services","(D)",2817,2917,2984,"(D)",3117,3216,3389,"(D)","(D)","(D)","(D)","(D)","(D)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)",341,339,349,311,312,337,340,362,345,363
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)","(D)","(D)",1252,1334,1383,"(D)","(D)","(D)","(D)","(D)","(D)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",1634,1801,1949,2172,2304,2429,2528,2774,2993,3025,3117,3280,3333,3421
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)",185,"(D)","(D)","(D)","(D)","(D)","(D)",271,"(D)","(D)",274
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)",1988,"(D)","(D)","(D)","(D)","(D)","(D)",2846,"(D)","(D)",3147
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services","(D)",885,967,"(D)",1307,1354,1387,1435,1556,1574,"(D)","(D)",1744,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities",511,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",976,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance",189,"(D)",213,228,244,265,289,321,338,346,337,343,"(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",893,923,965,1019,1043,1118,1182,1182,1170,1167,1162,1239,1310,1393
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",122,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)",70,72,71,"(D)","(D)","(D)","(D)","(D)",61,69,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",771,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",190,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",581,604,628,658,668,733,765,774,794,792,784,830,874,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government","(D)","(D)","(D)","(D)",738,809,831,"(D)",882,857,843,886,889,913
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",5718,6103,6433,6871,7145,7670,8111,8595,8754,8998,9081,9324,9466,9519
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",2256,2349,2438,2544,2621,2771,2857,3011,3081,3174,3258,3311,3306,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",832,910,983,1049,1144,1214,1264,1308,1266,1229,1240,1270,1251,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",2630,2844,3012,3278,3380,3685,3990,4276,4406,4595,4583,4743,4909,"(NA)"
"10740","Albuquerque, NM (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",276,232,292,198,"(D)","(D)","(D)",356,"(D)","(D)","(D)",264,293,287
