"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",198,"(D)","(D)","(D)",293,"(D)","(D)",310,227,"(D)","(D)","(D)",225,207
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)",56,55,52,51,47,47,"(D)","(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)",8,"(D)","(D)","(D)",10,16,15,22,19,19,21,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications",155,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",143,"(D)","(D)","(D)",146,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",17,16,10,11,"(D)","(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1039,893,962,992,1141,1172,1320,1504,1671,1643,1528,1670,1696,1703
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",328,346,346,362,386,368,295,336,318,340,340,368,414,457
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",225,245,236,250,265,"(D)",173,220,207,221,253,281,322,"(NA)"
"22180","Fayetteville, NC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
